悪	ÁC
屋	Ốc
億	Ức
安	An
暗	Ám
案	Án
胃	Vị
意	Ý
委	UỶ
医	Y
以	Dĩ
位	Vị
胃	Vị
囲	Vi
衣	Y
塩	Diêm
院	Viện
員	Viên
飲	Ẩm
横	Hoành
央	Ương
愛	Ái
温	Ôn
運	Vận
育	Dục
駅	Dịch
泳	Vịnh
栄	VINH
英	Anh
印	Ấn
荷	Hà
貨	Hóa
課	Khoá
加	Gia
果	Quả
化	Hóa
害	Hại 
街	Nhai
覚	Giác
各	Các

開	Khai
界	Giới
階	Giai
械	Giới
改	Cải
感	Cảm
館	Quán
寒	Hàn
漢	Hán
完	Hoàn
管	Quản
官	Quan
観	Quan
岸	Ngạn
願	Nguyện
起	Khởi
期	Kỳ
喜	Hỷ
季	Quý
旗	Kỳ
紀	Kỉ
希	Hi
機	Cơ
器	Khí
議	Nghị
客	Khách
急	Cấp
級	Cấp
球	Cầu
究	Cứu
救	Cứu
泣	Khấp
求	Cầu 
給	Cấp
宮	Cung
去	Khứ
挙	Cử
橋	Kiều
競	Cạnh

共	CỘNG
協	Hiệp 
鏡	Kính
業	Nghiệp
曲	khúc
局	CỤC
極	CỰC
銀	Ngân
苦	Khổ
区	Khu
具	Cụ
君	Quân
訓	Huấn
軍	Quân
郡	Quận
軽	Khinh
係	Hệ
型	Hình
径	Kính
景	Cảnh
芫	NGHỆ 
血	Huyết
決	Quyết
結	Kết
欠	Khiếm
県	Huyện
研	Nghiên
健	Kiện
建	Kiến
験	Nghiệm
湖	Hồ
庫	Khố
固	Cố 
幸	Hạnh
向	HƯỚNG
港	Cảng
康	KHANG
候	Hậu
功	Công
好	Hảo

航	Hàng
号	Hiệu
告	Cáo
芽	Nha
根	Căn
差	Sai
皿	Mãnh
祭	Tế
最	Tối
菜	Thái
村	Tài
昨	Tạc
殺	Sát
刷	Loát
札	Trát
察	Sát
参	THAM
散	Tản
産	SẢN
残	Tàn
指	Chỉ
始	Thủy
歯	XỈ
死	Tử
詩	THI
仕	Sĩ
使	Sử
氏	Thị
史	Sử
試	Thí
士	Sĩ
司	TY
次	Thứ
持	Trì
事	Sự
治	Trị
児	Nhi
辞	Từ
式	Thức

写	Tả
者	Giả
失	Thất
実	Thực
借	Tá
酒	Tửu
守	Thủ
主	Chủ
取	Thủ
種	Chủng
受	Thụ
習	Tập
拾	Thập
集	Tập
終	Chung
州	Châu
周	Chu
重	Trọng
住	Trú
宿	Túc
祝	Chúc
順	Thuận
初	Sơ
暑	Thử
所	Sở
助	Trợ
消	Tiêu
昭	Chiêu
章	Chương
商	Thương
勝	Thắng
唱	Xướng
笑	Tiếu
燒	Thiêu
松	Tùng
賞	Thưởng
象	Tượng
照	Chiếu
省	Tỉnh
乗	Thừa

植	Thực
身	Thân
進	Tiến
申	Thân
深	Thâm
真	Chân
神	Thần
信	Tín
臣	Thần
世	Thế
整	Chỉnh
清	Thanh
静	Tĩnh
成	Thành
全	Toàn
席	Tịch
積	Tích
昔 	Tích
節	Tiết
折	Chiết
説	Thuyết
戦	Chiến
選	Tuyển
浅	Thiển
卒	Tốt
巣	Sào
相	Tương
送	Tống
想	Tưởng
争	Tranh
倉	Thương
息	Tức
速	Tốc
束	Thúc
側	Trắc
続	Tục
族	Tộc
孫	Tôn
