音	Âm (âm thanh)
雨	Vũ (mưa)
羽	Vũ (lông chim)
雲	Vân (mây)
引	Dẫn (kéo)
王	Vương (vua)
円	Viên (viên mãn, tiền Yên)
遠	Viễn (xa)
園	Viên (công viên)
火	Hỏa (lửa)
花	Hoa (bông hoa)
下	Hạ (bên dưới)
家	Gia (gia đình, nhà)
何	Hà (cái gì)
夏	Hạ (mùa hè)
料	Liệu - nguyên liệu, tài liệu
歌	Ca - hát
学	Học - học sinh, học thuyết
画	Họa /Hoạch - họa sĩ; kế hoạch
休	Hưu hưu trí, nghỉ ngơi
九	Cửu - 9
弓	Cung - (cây cung)
牛	Ngưu - (con bò)
玉	Ngọc - bảo ngọc
空	Không -  trống rỗng
魚	Ngư -  (con cá)
具	Cụ - công cụ, dụng cụ
五 	Ngũ - 5
語	Ngữ - (ngôn ngữ)
午	Ngọ - (giữa trưa)
後	Hậu - phía sau
楽	Lạc/Nhạc - Âm nhạc, vui vẻ
月	Nguyệt (trăng)
気	Khí (khí chất)
記	Kí - nhật ký
犬	Khuyển - (con chó)
帰	Quy (trở về) 
見	Kiến (nhìn)
汽	Khí (hơi nước)
絵	Hội - (hội họa)
会	Hội - Gặp gỡ
回	Hồi (vòng quanh, đi quanh)
海	HẢI (biển)
外	Ngoại (bên ngoài)
金	Kim (vàng)
近	Cận (gần)
今	Kim (bây giờ)
間	Gian (ở giữa, trung gian)
角	Giác ( góc)
活	Hoạt (sinh hoạt)
教	Giáo giáo dục, giáo viên
強	Cường (cường lực)
兄	Huynh (anh trai)
京	Kinh (kinh đô)
原	Nguyên - nguyên gốc, nguyên nhân
言	Ngôn (ngôn ngữ)
元	Nguyên (nguyên khí)
計	Kế - kế hoạch
形	Hình (hình dạng)
国	Quốc (quốc gia)
谷	Cốc (thung lũng)
黒	Hắc (màu đen)
顔	Nhan nhan sắc, hồng nhan mặt
岩	Nham (đất đá)
丸	Hoàn (hình tròn)
古	Cổ (cổ xưa)
戸	Hộ (cánh cửa)
口	Khẩu miệng - nhân khẩu, khẩu ngữ
校	Hiệu (trường học)
広	Quảng quảng trường, quảng đại rộng
交	Giao (cắt nhau)
工	Công (công trường)
光	quang ánh sáng, quang minh
公	Công (công cộng)
考	khảo khảo sát, suy nghĩ
行	Hành (đi, lữ hành)
高	Cao (chiều cao, cao học)
黄	Hoàng (màu vàng)
合	Hợp (hòa hợp)
左	Tả (bên trái)
三	Tam - 3
山	Sơn - núi
算	Toán - toán học
作	Tác - làm, tạo nên
細	Tế - gầy, nhỏ
才	Tài (tuổi, thiên tài)
四	Tứ - 4
矢	Thỉ (mũi tên)
姉	Tỷ (chị gái)
子	tử - con
糸	Mịch (sợi tơ)
紙	Chỉ (tờ giấy)
市	Thị (thành phố)
止	Chỉ (dừng lại, đình chỉ)
思	Tư - suy nghĩ
七	Thất - 7
室	Thất (phòng)
字	Tự (chữ)
耳	Nhĩ (cái tai)
時	Thời (thời gian)
寺	Tự (Chùa)
自	Tự - tự thân
車	Xa (xe)
社	Xã (xã hội)
十	Thập - 10
手	Thủ (cái tay)
